,Movie,Year of release,Genre,Directed by,Starring,Synopsis,Box Office Gross in Million Dollars,Duration in minutes,IMDB User Rating,Metascore from Metacritic
0,The Dark Knight,2008,"['Action, Crime, Drama']",Christopher Nolan ,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","['When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.']",534.86,152,9,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""3f9eb9a2-4522-4397-a438-c8b2ee73f41e"")>"
1,Inception,2010,"['Action, Adventure, Sci-Fi']",Christopher Nolan ,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",['A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.'],292.58,148,8.8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""65fa5136-6b26-446a-a004-c25729dbe7ac"")>"
2,Kill Bill: Vol. 1,2003,"['Action, Crime, Drama']",Quentin Tarantino ,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen","['After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.']",70.10,111,8.1,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""dc75f866-655a-4d4f-90d4-910f78377777"")>"
3,Gladiator,2000,"['Action, Adventure, Drama']",Ridley Scott ,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",['A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.'],187.71,155,8.5,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""e88596bb-d8cb-4b82-b43e-b6fa43192ac6"")>"
4,Terminator 2: Judgment Day,1991,"['Action, Sci-Fi']",James Cameron ,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick","['A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced and powerful cyborg.']",204.84,137,8.5,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""137f0635-9129-423a-905a-bef3fb722c57"")>"
5,The Bourne Ultimatum,2007,"['Action, Mystery, Thriller']",Paul Greengrass ,"Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles",['Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.'],227.47,115,8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""c4c66f89-b92f-40d7-8523-8e8d33ab388c"")>"
6,The Dark Knight Rises,2012,"['Action, Adventure']",Christopher Nolan ,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman","[""Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.""]",448.14,164,8.4,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""8adfed8a-e08a-4436-80d4-6628fa5c07af"")>"
7,The Matrix,1999,"['Action, Sci-Fi']","Lana Wachowski, Lilly Wachowski ","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","['When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.']",171.48,136,8.7,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""0a5e0563-57cc-4127-8e25-503e9dc35dd6"")>"
8,Avatar,2009,"['Action, Adventure, Fantasy']",James Cameron ,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez",['A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.'],760.51,162,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""0b2eb1ff-2b22-4ed5-be17-9c9b15ffc7fe"")>"
9,Minority Report,2002,"['Action, Crime, Mystery']",Steven Spielberg ,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","['In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.']",132.07,145,7.6,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""dda72894-2391-4c0c-8e60-9679d7245c5e"")>"
